id,date,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14
2352064,2021-09-21,Yeni tikili,11 / 16,70 m²,2,var,117 000AZN,vasitəçi (agent),"TƏCİLİ!!!!

DƏYƏRİNDƏN AŞAĞI TƏKLİFƏ!!!!

Səbail rayonunda ""KRİSTAL ABŞERON""-nun yeni tikili  16 mərtəbəli binasının, 11ci mərtəbəsində, ümumi sahəsi 70 kvm olan, 2 otaqlı, tam təmirli mənzil satılır. Mənzildə qaz, su, işıq daimidir. Mənzilin sənədi kupçasdır. Bina Azneft dairəsinə avtobusla 5 dəqiqəlik məsafədə yerləşir. Binanın qarşısında  avtobus dayanacağı da var. 

ŞİRKƏTİN XİDMƏT HAQQI 1%",119,"Dağüstü parkı 
"," Bayıl parkı 
"," Səbail r.
"," Bayıl q.
",
2354949,2021-09-21,Yeni tikili,17 / 20,130 m²,3,var,165 000AZN,vasitəçi (agent),"✔ KUPCA (Cixaris) VAR Əldədir,
✔ IPOTEKA'YA yararlidir
✔ TAM ESYALI SATILIR

✔ Nerimanov, Heyder Eliyev prospekti
✔ Akkord Cosmosun binasi
✔ Menzil Skvaznoydur( Yelcekendir)
✔ 2 Hamam/t ve elave qardirob otaqi
✔ POLU PARKET
✔ QAZ VAR,Kombi isdilik sisdemi
✔ Giris xolu genis
✔ infrstruktura baximdan elverisli erazide yerlesir Bina məktəbə, baxçaya, aliş veriş mərkəzinə, istirahət parkina yaxin yerdə yerləşir, kodlu qapi ile təmin olunub.
✔ Əlavə məlumat almaq uçun əlaqə saxliya bilərsiniz",988,"Nəriman Nərimanov m.
"," Nərimanov r.
",,,
2354948,2021-09-21,Yeni tikili,9 / 20,80 m²,2,var,116 000AZN,vasitəçi (agent),"TƏCİLİ ! SATILIR, 2 Otaqlı Əla təmirlidir, Xətai Park yaşayış kompleksi. Bina tam hazırdı, yaşayışa təhvil verilib. Suyu, qazı , işığı daimidir, istilik sistemi kombidir 4 mərtəbəli yerüstü parkink, 24 saat mühafizə xidməti, Binanın 5 hektar yaşıllıq ərazisi var. Bina çox keyfiyyətli inşa edilib(dövlət layihəsidir) Binanın altında supermarket(bravo), klinika, fitnes, uşaq baxçası, restoran nəzərdə tutulub, Çıxarışı hazırdı.",9,"Xətai r.
"," Əhmədli q.
",,,
2354944,2021-09-21,Yeni tikili,12 / 16,111 m²,3,var,203 900AZN,vasitəçi (agent),"Xetaide metronun yaninda temirden yeni çıxmış, hele yaşayış olmamış cox super temirli mənzil satılır, menzil dizaynla temir olunub,menzilin temirine heddinden cox pul xerclenib, ev sahibi qızı üçün təmir etdirib, ancaq indi fikirlerini dəyişiblər satirlar, menzil cox gozel gun işığı qebul edir, kupcasi var ipotekaya yararlidir",28,"Şah İsmayıl Xətai m.
"," Xətai r.
",,,
2354942,2021-09-21,Yeni tikili,14 / 17,57 m²,2,var,107 000AZN,vasitəçi (agent),"QAZLI,KUPCALI. Xetai rayonu Xetai metrosunun yani 17 mertebeli binanin 14 cu mertebesinde yerlewen 57 kv.m sahesi olan 2 otaqa duzelme menzil satilir.Qeyde olunan mebleq sondur.Elave melumat ucun elaqe saxlaya bilersiz.",12,"Şah İsmayıl Xətai m.
"," Xətai r.
",,,
2354941,2021-09-21,Köhnə tikili,1 / 5,55 m²,2,var,68 000AZN,vasitəçi (agent),"Cox Tecili satilir,elave melumat ucun zeng vurun,ela temirli,otaqlar 33 lerdendi yeniki 33kv dir, Ecemi m da en boyuk otaq KV di,bilen bilir,bilmeyen maraqlansin,bawqa satilan 2 otaqlar 27kv olur,
Ecemi m 3-4 deq mesafe,kombi var,metbex mebeli qalacaq,geniw heyete malikdi,3 orta mekdeb var yaninda",45,"Nəsimi r.
",,,,
1831107,2021-09-21,Yeni tikili,12 / 18,76 m²,2,yoxdur,179 000AZN,vasitəçi (agent),Seven Star mtk’da yeni tikili pilot layihə radnoy 2 otaq mənzil satılır. Mənzil yeni təmirdən çıxıb yaşayış olmayıb. Mənzil bütün əşyalarla təmin olunub. 1 sözlə “gir yaşa”. Əlavə məlumat üçün whatsappa müraciət edin,13,"Nəriman Nərimanov m.
"," Nərimanov r.
",,,
2354939,2021-09-21,Yeni tikili,17 / 17,115 m²,2,yoxdur,134 500AZN,vasitəçi (agent),"Tecili ....Yashayishli binada
Cixarish (Kupca)Qisa muddete verilir.3 blok kupca ile temin olunub.

Nərimanov rayonu, Gənclik ve 28 May metrosundan 5 dəqiqəlik məsafədə, Qarabag kucesinde Tehsil Nazirliyinin yanında
16 mərtəbəli yeni tikili binanın 16-ci mərtəbəsi
3 otaqlı mənzil satılır
.Bina tam yashayishlidir qaz xetleri cekilib saygaclar qurasdirilib.
Mənzilin ümumi sahəsi 115 kv.m-dir
Mənzil təmirsizdir-pod mayak.
Bina tam hazırdır. Təmirə icazə verilib.
İstədiyiniz dizaynda mənzilə sahib olmaq üçün əla təklifdir",44,"Təhsil Nazirliyi 
"," Nərimanov r.
",,,
2338137,2021-09-21,Yeni tikili,2 / 16,75 m²,3,var,124 000AZN,vasitəçi (agent),Super təmir ev qaz kuca olan 4 mkr qızıl tac şadlıq sarayın arxasındakı təzə tikili 240 nömrəli məktəb qərfl baxanın yanında 16/2 ci mərtəbədə 2/3 otağa perdlka olunub cox əla təmir istənilən vaxt baxmaq olar qiymətdə razılaşmaq da olar başqa hər bir qiymətə evlər var isdənlən vaxt əlaqə saxlayın,14,"Memar Əcəmi m.
"," Nəsimi r.
"," 4-cü mikrorayon q.
",,
2354938,2021-09-21,Yeni tikili,15 / 15,86 m²,2,var,115 000AZN,mülkiyyətçi,HEZİ ASLANOV!!! Serhedci mtk yawayiw kompleksinde 15 mertebeli binanin 15 ci mertebesinde menzil satilir. Ev otaqlari geniw iwiqli ve yel cekendir. Qaz su iwiq daimidir. Remontu yaxwi veziyyetdedir. Sureli ve geniw liftlere malikdir lift son mertebeye qeder qalxir. Mansard deyil. 1 balkonu var balkonda wehere alov qullesine yeni acilmiw genclik parkina denize geniw menzeresi var. Binanin yer alti qaraji 24 saat muhafize ve kamera muwahidesi var. Market binanin heyetindedir bakubus binanin qabagindan kecir metroya mesafedi piyada10 deyqedir. Her cehetden elveriwli movqedir. Mekteb bagca yaxinliqdadir. Hazir ipatekdedir isteyene. Whatsaap var,44,"Xətai r.
"," Həzi Aslanov q.
",,,
2304610,2021-09-21,Yeni tikili,3 / 16,95 m²,3,var,130 000AZN,vasitəçi (agent),"Qazli kupcali binada, 2 den 3 e duzelme ela teemirli menzil mebelleri ile  teecili satilir. YEGANE wadliq evin yani. ",20,"Memar Əcəmi m.
"," Binəqədi r.
"," Xutor q.
",,
