id,date,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18
2573934,2022-01-19,Yeni tikili,1 / 20,85 m²,2,var,86 000AZN,vasitəçi (agent),"TƏCİLİ SATILIR. 3 otağa çox rahat düzəltmək mümkündür. Mənzilin çox gözəl layihəsi var.  Xətai Park Premium klass yüksək səviyyəli tikinti şirkəti tərəfindən inşaa edilib. Bina tam hazırdı, suyu, qazı, işığı daimidir. Binanın çox geniş həyəti, 5 mərtəbəli yerüstü parkinqi, 3 ədəd sürətli lifti var.Binada 24 saat mühafizə xidməti, böyük supermarket (Bravo), fitnes mərkəzi, uşaq bağçası, restoran və müxtəlif xidmət sahələri fəaliyyət göstərəcək. Mənzilin çıxarışı var.",9,"Xətai r.
"," Əhmədli q.
",,,,,,,
2573931,2022-01-19,Yeni tikili,5 / 16,73 m²,2,yoxdur,145 000AZN,vasitəçi (agent),"TƏCİLİ !
ƏLİMYANDI !
Metro 28 May, Qış Parkı, Heydər Əliyev Sarayının düz yanı ""SEVEN POİNTS"" də QANUNİ 2 otaqlı, təmirli mənzil satılır. Binada qaz, yaşayış var. Mənzil təcili satıldığından real dəyərindən aşağı satılır. Bu binada bu qiymətə mənzil yoxdur.Bu binada bu qiymete 1 otaqli satirlar.
Sirket haqqi-1%",33,"Neft Akademiyası 
"," 28 May m.
"," Bakı Musiqi Akademiyası 
"," Milli Konservatoriya 
"," Nəsimi r.
",,,,
2573929,2022-01-19,Yeni tikili,8 / 12,90 m²,3,yoxdur,95 000AZN,mülkiyyətçi,"Ela təmirli, təmir zamanı keyfiyyətli materiallardan istifadə olunub. təmirdən sonra 1,5 il yaşayış olub. Qaz, su, işıq daimidir. İstilik sistemi kombidir. Evin hech bir problemi yoxdur. Mətbəx çox genişdir.metbex mebeli və mətbəx xalçası evdə qalacaq. İstəyə görə başqa əşyalara qala bilər. ev də əlavə əşyaları yığmaq üçün dolab otaq var. Çox sakit həyətdə yerləşir. Satılma səbəbi iş yerinin nisbətən uzaq olmasıdır. ",10,"Xırdalan
",,,,,,,,
2503956,2022-01-19,Yeni tikili,6 / 17,98 m²,3,yoxdur,170 000AZN,vasitəçi (agent),"Təcili satılır !!! Nərimanov rayonu. Təbriz kücəsi. SU  SONASI ş/e-nin  yanı. Yeni tikili binada, 17/6-ci yaşayış mərtəbəsində yerləşən, 98 kv. metr sahəsi olan, əla avro təmirli, 2-otaqdan 3-otaqa düzəlmiş mənzil satılır. Binaya Qaz, su, işıq daimi və fasiləsiz verilir. Yaxın zamanda cıxarış (kupca) veriləcək. Binanın mühafizə olunan həyəti, sürətli liftləri, yeraltı qarajı var.",46,"Şərq bazarı 
"," Nərimanov r.
",,,,,,,
2573927,2022-01-19,Yeni tikili,2 / 20,110 m²,3,var,120 000AZN,vasitəçi (agent),"TƏCİLİ SATILIR. 3 otaqlıdı. Mənzilin çox gözəl layihəsi var.  Xətai Park Premium klass yüksək səviyyəli tikinti şirkəti tərəfindən inşaa edilib. Bina tam hazırdı, suyu, qazı, işığı daimidir. Binanın çox geniş həyəti, 5 mərtəbəli yerüstü parkinqi, 3 ədəd sürətli lifti var.Binada 24 saat mühafizə xidməti, böyük supermarket (Bravo), fitnes mərkəzi, uşaq bağçası, restoran və müxtəlif xidmət sahələri fəaliyyət göstərəcək. Mənzilin çıxarışı var.",11,"Xətai r.
"," Əhmədli q.
",,,,,,,
2573926,2022-01-19,Yeni tikili,8 / 17,135 m²,4,var,154 999AZN,vasitəçi (agent),"**TƏCİLİ SATILIR****
***Mənzil H.Aslanov m\s nın yanı 17 mərtəbəli yeni tikilinin 8 ci mərtəbəsində 3 otaqdan 4 otaqa düzəlmə mənzil satılır.Mənzil təmirlidir təmirdə yüksək keyfiyyətli materiallardan istifadə olunub.Mənzil infrastruktur baxımından cox əlverişli yerdə yerləşir.Yaxınlıqda market ,metro (H.Aslanov),məktəb,baxca bütün iaşə obiyektəri mövcudur.Mənzil yelçəkındir(skvaznoy).Mənzilin cıxarışı var iptekya tam yararlıdır.",36,"Həzi Aslanov m.
"," Xətai r.
",,,,,,,
2573924,2022-01-19,Yeni tikili,8 / 16,138 m²,3,var,270 000AZN,vasitəçi (agent),"✔ TECILI  SATILIR!!!

✔ Pretejni Bina
✔ Genclik Mola yaxin
✔ Abu Arena
✔ Mohtesem Ponoroma
✔ 3 otaqli Super Temirli Menzil Tecili Satilir!
✔ Menzildə Qaz , su, işiq daimidir.
✔ Bina məktəbə , baxçaya , aliş veriş mərkəzinə, istirahət parkina yaxin yerdə yerləşir. Bina 24 saat muhafize xidmeti,kodlu qapi və muhafizə sistemi ilə təmin olunub. 2 suretli lifti parkinq,
✔ Əlavə Melumat ucun zeng ede bilersiz",1183,"Azərbaycan turizm institutu 
"," Respublika stadionu 
"," Gənclik m.
"," Nərimanov r.
",,,,,
2573923,2022-01-19,Yeni tikili,6 / 16,54 m²,2,var,105 000AZN,vasitəçi (agent),"Kupca var ! ! !

Neqliyyat Nazirliyine uzbeuz Bolmartin ustunde 16/6 54kv 1 otagdan 2 otaga peredelka ela temirli menzil satilir.Menzilin temiri eladir.Qaz,su,isiq daimidir.Temirden sonra yasayis olmayib.
Sirket haqqi-1%",37,"Bakı Asiya Universiteti 
"," 8 Noyabr m.
"," Nəsimi r.
",,,,,,
2573922,2022-01-19,Yeni tikili,2 / 20,127 m²,3,var,125 000AZN,vasitəçi (agent),"TƏCİLİ SATILIR. 4 otağa çox rahat düzəltmək mümkündür. Mənzilin çox gözəl layihəsi var. Xətai Park Premium klass yüksək səviyyəli tikinti şirkəti tərəfindən inşaa edilib. Bina tam hazırdı, suyu, qazı, işığı daimidir. Binanın çox geniş həyəti, 5 mərtəbəli yerüstü parkinqi, 3 ədəd sürətli lifti var.Binada 24 saat mühafizə xidməti, böyük supermarket (Bravo), fitnes mərkəzi, uşaq bağçası, restoran və müxtəlif xidmət sahələri fəaliyyət göstərəcək. Mənzilin çıxarışı var.",13,"Xətai r.
"," Əhmədli q.
",,,,,,,
2573919,2022-01-19,Yeni tikili,6 / 14,175 m²,4,var,295 000AZN,vasitəçi (agent),"TƏCİLİ..! DƏYƏRİNDƏN UCUZ, İPOTEKAYA YARARLI MƏNZİL SATILIR..!
Satış: Yeni tikili
Yerləşdiyi yer: Xətai rayonu, Xocalı prospekti, Xətai m/s yanı.
Otaq sayı: 4
Ümumi sahəsi: 175 kv.m.
Mərtəbə: 14/6
Qaz: Var
Sənədi: Çıxarış
İpoteka: Yararlıdır
Təsvir: Əla təmirli mənzil, bütün əşyaları ilə bir yerdə satılır (5ədəb kondisioner - ""Panosonic"", ""Doğtaş"" mebeli - 8000 azn, ""Kelebek"" mətbəx mebeli - 10000 azn, qonaq otağı - yeni kreslo-divan - 2600 azn, stol-stul - 5000 azn , çayxana - 2000 azn, yataq masaları hər biri - 800 azn). İsti döşəmə, 4 eyvanı və s. Daha ətraflı telefonla. Ofis haqqı 1 %.

----------------------------------------------------------------------------------------------------------------------

СРОЧНО..! ЦЕНА НИЖЕ РЫНОЧНОЙ..! ПОДХОДИТ ПОД ИПОТЕКУ..!
Продажа: Новостройка 
Расположение: Хатаинский район, проспект Ходжалы, недалеко от м/с Хетаи.
Количество комнат: 4
Общая площадь: 175 кв.м.
Этаж: 14/6
Газ: Есть
Документ: Купчая
Ипотека: Подходит
Описание: Отличный ремонт. Продается со всеми вещами (5 кондиционеров  ""Panosonic"", мебель от ""Doğtaş"" за 8000азн, кухонная мебель от ""Kelebek"" за 10000азн, мягкая мебель за 2600азн, стол стулья за 5000азн и т.д.). Теплые полы, 4 балкона..  Подробнее по телефону. Услуги фирмы 1 %.",34,"Şah İsmayıl Xətai m.
"," Xətai r.
",,,,,,,
