id,date,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10
2782172,2022-05-11,Yeni tikili,15 / 18,86 m²,2,var,143 000AZN,vasitəçi (agent),"Binəqədi r.8-ci mkr.Ə.Naxçıvani küç.Elit Ticarət Mərkəzinin arxası 18 mərtəbəli Qaz-ı və Çıxarışı(Kupça) olan Yeni tikili binanın 15-ci mərtəbəsində 2 otaqlı,ümumi sahəsi 86 kv.olan mənzil Bəzi Əşyaları ilə birlikdə satılır.Mənzilin qazı,suyu,işığı daimidir və sənədi Çıxarışdır(Kupça).Binada 2 sürətli lift,24 saat mühafizə xidməti,yeraltı qaraj və s.var.Binanın yaxınlığında orta məktəblər,uşaq bağçaları,super-marketlər,avtobus dayanacaqları və s.yerləşir.Mənzilin Qiyməti 143.000 Azn",8,Binəqədi r.8-ci mikrorayon q.
2782169,2022-05-11,Köhnə tikili,3 / 5,40 m²,1,var,83 000AZN,vasitəçi (agent),"TECILI!!!!!!!

Menzil Genclik metrosuna 5 deqiqelik mesafede yerlesir.Kral sadliq evinin yaxinlgi.Xruşovka proyekt, orta təmirlidir.Qaz,su,isiq daimi.

Xidmet haqqi 1%",35,Gənclik m.Respublika stadionu Nərimanov r.
2782168,2022-05-11,Yeni tikili,11 / 18,83 m²,2,var,145 000AZN,vasitəçi (agent),"AzinCo Şirkətinə məxsus unikal lahiyyələrdən sayılan Tibilisi prospektində 2 otaqlı mənzil satışa çıxarılıb. Mənzil Geniş qonaq otağına malikdir. Binanın geniş uşaq meydançası və yer altı parkingi var.
▼ Əsas üstünlükləri:
✓ Yüksək keyfiyyət standartlarına uyğun və tikinti
✓ Evin qarşısında gözəl böyük park
✓ Evin ətrafında mənzərəni poza bilən yeni tikililər riskinin olmaması
✓ Avtomobil istifadə etmədən çox saylı müxtəlif marşrut seçimi
✓ Unikal bir görünüş verən hündür pəncərələr
✓ Paytaxtın tam mərkəzində binanın unikal VIP yeri
✓ Binada Müassir model liftləri quraşdırılıb
✓ Mənzillər gözəl görünüşlü seyf qapılar ilə təchiz edilmişdir
✓ Çox rahat bir tərtibatı olan yelçəkən mənzil
✓ Otaqların günəş işığı ilə mükəmməl işıqlandırılması
✓ Möhtəşəm iki mərtəbəli yeraltı dayanacaq

QAZ VƏ ÇIXARIŞ

REAL MÜŞTƏRİYƏ ENDİRİM OLUNACAQ.",9,İdman kompleksi Yasamal r.
2782167,2022-05-11,Yeni tikili,13 / 17,71 m²,2,var,168 000AZN,vasitəçi (agent),"KUPCALI+QANUNİ 2 OTAQ+ TAM ƏSYALİ

Nərimanov rayonu Şərq bazarinin yaxinligi (Gənclik , 28 may ,Nərimanov metrolarina yaxin)yeni elit tikilidə qanuni 2 otaq loft style super təmirli mənzil TAM əsyalı satılır.Təmirdən sonra yasayis olmayib.Temirde en yuksek keyfiyyetli materiallardan istifadə olunub.əsyalar xususi olaraq yigilib.binanin yeralti ve yerustu qaraji genis heyeti 24 saat mufafize ve s var.Ciddi alicilar ətrafli melumat ucun elaqe saxlaya biler
ipotekayada yararlidir.
ofisin xidmət haqqı 1 % teskil edir.
",45,Təhsil Nazirliyi Şərq bazarı Nərimanov r.
2782166,2022-05-11,Yeni tikili,4 / 7,117 m²,3,yoxdur,193 000AZN,vasitəçi (agent),"Ağ şəhər de hazir bina da menzil satılır.
Genis ve masinsiz heyet, 2 mertebeli yeraltı parking.
2 otaq qiymetine tam 3 otaqlı menzil.
Bütün otaqlari ayri-ayri olan, 3 otaqlı ev satılır.
",9,Xətai r.
2782165,2022-05-11,Köhnə tikili,3 / 5,75 m²,3,var,140 000AZN,vasitəçi (agent),"TECILI!!!!!!!!!!!

Cavanşir körpüsünün, “Ağ şəhər” bulvarının yaxınlığında “Xruşov” layihəli binada, sakit həyətdə tam təmirli, 5 mertebeli binanin 3-cu mertebesinde menzil satilir.

Xidmet haqqi 1%",46,Ağ şəhər ASAN Xidmət №2 Xətai r.
2782163,2022-05-11,Köhnə tikili,2 / 4,55 m²,2,var,115 000AZN,vasitəçi (agent),"Tecili !! Yatirim etmek isdeyenler ideal teklif!
Yaxin zamanda binanin yerine sokulub Navastroyka tikilecek.  

Seherin En Elitni Yerinde Koroglu parki , Drujba Kinoteatri , .Koala park ve Zoopark duz yaninda  yaninda  Azadliq pr ile Bakixanov kucelerinin kesismesinde 4 mertebeli binanin 2 -ci mertebesinde Alman Proyketli QANUNI 2 otaqli Tam Temirli menzil satilir!!  Bina bir bashi ""DRUJBA""kinotetrina baxir.O biri terefi ""Koroglu""parkina cixir. Menzili alib Kiraye Vermekcunde Ela Variantdir !!  Yalniz REAL  Musteriler zeng etsin! Ofis haqqi 1% ",12,Dostluq kinoteatrı Koala parkı Zoopark Nəsimi bazarı Nərimanov r.
2782161,2022-05-11,Köhnə tikili,7 / 9,65 m²,2,var,73 500AZN,vasitəçi (agent),"cox cox tecili:DEYERINDEN ASAQI QIYMETE IPOTEKAYA YARARLI.
Yasamal rayonu yeni yasamalda osmanli hamamin yaninda esed ehmedov kucesinde 9 mertebeli binanin 7 ci mertebesinde radnoy  2 otaqli 65kv menzil satilir.erazide bu qiymete menzil yoxdur.etrafinda butun iase obyektleri movcuddur.real aliciya cuzi endirim olunacaq xidmet haqqi 1% teskil edir.",1093,Yasamal r.Yeni Yasamal q.
2744432,2022-05-11,Yeni tikili,11 / 17,130 m²,3,var,205 000AZN,vasitəçi (agent),"Binəqədi r.8-ci mkr.Ayna Sultanova Heykəlinin yaxınlığında 17 mərtəbəli Qaz-ı və Çıxarışı(Kupça) olan Yeni tikili binanın 11-ci mərtəbəsində 3 otaqlı,ümumi sahəsi 130 kv.olan mənzil satılır.Mənzilin qazı,suyu,işığı daimidir və sənədi Çıxarışdır(Kupça).Binada 2 sürətli lift,24 saat mühafizə xidməti,yeraltı qaraj və s.var.Binanın yaxınlığında orta məktəblər,uşaq bağçaları,super-marketlər,avtobus dayanacaqları və s.yerləşir.Mənzilin Qiyməti 205.000 Azn",9,Ayna Sultanova heykəli Binəqədi r.8-ci mikrorayon q.
2782159,2022-05-11,Köhnə tikili,3 / 5,30 m²,2,var,65 000AZN,vasitəçi (agent),Wamaxinkaya yaxin 20 yanvar kucasinda 5/3-1/2 -duzalmiw manzir satilir manzil super tamirlidi manzili 65000 manata satilir metro acamiya yaxindi ,35,Nəsimi r.5-ci mikrorayon q.
