id,date,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16
2538124,2021-12-30,Yeni tikili,10 / 18,68 m²,2,var,115 000AZN,vasitəçi (agent),M. Qara Qarayev nebz kilnikasin arxasda 18/10  - 1-2duzelib kupcasi var ,13,"Qara Qarayev m.
"," Nizami r.
"," 8-ci kilometr q.
",,,,
2485311,2021-12-30,Köhnə tikili,1 / 5,120 m²,4,var,133 000AZN,vasitəçi (agent),"TECILI SATILIR!
ƏLA TƏKLİF!!

Şəhərin mərkəzi!

SUPER QİYMƏT

Yasamal rayonu, Parlament prospekti,Fexri Xiyabanin yaninda, 5 mertebeli köhnə tikili binanin birinci mertebesinde əla temirli dublex menzil satilir.
Mənzil zirzəmi hesabına 2 mərtəbəli mənzilə çevrilib. 50kv çox artırması var.İki giriş qapısı var. Birinci mərtəbədə 3 otaq və sanitar qovşağı, ikinci mərtəbədə isə genis,isiqli zal, mətbəx və sanitar qovşağı var. Bütün otaqlar birinci işıqlıdır.Menzil yaxsi temirli,laminat doseme,Pvc pencere,iki giris qapisi,2 eded birlesmis sanitar qovsagi,kombi sistemi ile techiz olunmusdur.
Həyətdə maşın saxlamaq üçün şəxsi yeri var. Ev İçərişəhər və Elmlər Akademiyası metrolara yaxın ərazidə yerləşir. Ətrafda , Dağüstü park,İncəsənət Gimnaziyası, Azərbaycan Respublikasının Dövlət Təhlükəsizliyi Xidməti, Azərbaycan Respublikasının Fövqəladə Hallar Nazirliyi, 20 nömrəli məktəb-lisey, A. Hüseynzadə adına məktəb ve s. yerlesir.Xahish olunur bos-bekar adamlar narahat etmesin.Real aliciya endirim olunacaq!!!

Bu ərazidə bu qiymətə belə mənzil yoxdur.

Şirkətin xidmət haqqı 1%...

Kərəm M
Şəhid ailələrindən xidmət haqqı tələb olunmur.",31,"Yasamal bazarı 
"," İnşaatçılar m.
"," Yasamal r.
",,,,
2531790,2021-12-30,Yeni tikili,17 / 17,147 m²,3,var,160 000AZN,vasitəçi (agent),"TƏCİLİ..

İNANILMAZ  QİYMƏT..

Təhsil nazirliyinə və Şərq bazarına yaxın.

Dövlət nəzarətiylə,çox keyfiyyətlə inşa olunmuş residensde..

17 ci mərtəbədə..cıxarışlı..super proyektli 3 otqlı podmayak mənzil satılır..

Mənzil rahatliqla 4 otağa düzəlir..   6 cı şəkildəki layihədə bunu aydın görə bilərsiz..

Bu mənzilin layihəsi aşağı mərtəbələrdə 152   
kv kimi satılır..

Çox uğurlu layihədir..

Binanın dam hissəsi 3 qat izoliyasiya olunub və betondur..Nəm və yağış söhbəti ola bilməz..

Mənzilin ic hündürlüyü təmirdən sonra 3.2 m qalır..

Geniş  və qorunan həyət..
2 mərtəbəli qaraj..

Bu fürsəti dəyərləndirməyə tələsin..

Xidmət haqqı 1 %..",195,"Təhsil Nazirliyi 
"," Şərq bazarı 
"," Nərimanov r.
",,,,
2538121,2021-12-30,Köhnə tikili,5 / 5,70 m²,3,var,97 000AZN,vasitəçi (agent),"Tecili.!!!.Tecili.!!!
Satilir Yasamal Rayonu
Serifzade kucesi das bina
5.5.3.otaq.isdilik sisdemi
kombidir Hormetli alicilarimiz
elave sualiniz olduhu halda zeng
vurub maraqlana bilersiz.",29,"ASAN Xidmət №3 
"," Yasamal bazarı 
"," Yasamal r.
"," Yasamal q.
",,,
2538120,2021-12-30,Yeni tikili,2 / 4,38 m²,2,var,68 000AZN,vasitəçi (agent),Gənclik metrosunun yaxınlığında yerləşən Binada İtalyan prayektli 4/2 mərtəbəsində 38 kvadrat 1 Otaqdan 2 otağa düzəlmə Super təmirli təmirdən sonra evdə yaşayış olmayıb Evin istilik sistemləri polu bahalı laminatla döşənib Çox xaiş edirəm real alıcılar narahat etsin Qiyməti 68 min manat .QUBÇA VAR,492,"Azərbaycan turizm institutu 
"," Respublika stadionu 
"," Gənclik m.
"," Nərimanov r.
",,,
2538119,2021-12-30,Köhnə tikili,1 / 5,46 m²,2,var,68 000AZN,mülkiyyətçi,"1-ci mikrarayon, Borçalı kafesinin arxadında otaqları ayrı olan 2 otaqlı mənzil satıram. Mənzil 20 yanvar metrosuna 3 dəqiqəlik məsafədə yerləşir, real alıcılar zəng vursun.",61,"Nəsimi r.
"," 1-ci mikrorayon q.
",,,,,
2538112,2021-12-30,Yeni tikili,12 / 13,70 m²,2,var,112 000AZN,vasitəçi (agent),"Xetai rayonu Hezi Aslanov metrosunun yaninda 13 mertebeli binanin 12-ci mertebesinde umumi sahesi 70 kvm olan qanuni 2 otaqli super temirli menzil satilir.Balkon var.Doseme parketdir.Hamam tualet ayridir.Qaz,su,isiq daimidir.Istilik Kombidir...Sened Kupcadir...Xidmet haqqi alici terefden 1% teskil edir.",19,"Həzi Aslanov m.
"," Xətai r.
"," Həzi Aslanov q.
",,,,
2538107,2021-12-30,Yeni tikili,3 / 18,135 m²,3,var,245 000AZN,vasitəçi (agent),"Nəsimi rayonu Abdulvahab Salamzade kucesinde, 8 noyabr metrosunun yaxınlığında yeləşən 18 mərtəbəli binanın 3-cü mərtəbəsinde 3 otaqlı, EURO təmirli mənzil satılır. Mənzildə cəmi 8 aydır ki 1 nəfər yaşayır.Şəkillərdən gördüyünüz kimi dizaynerlər tərəfindən zövqlə,müasir və çox keyfiyyətli təmir olunub.Qonaq və yataq otaqları 1-ci sort palıd ağacından parket,digər otaqlar və WC-lər mərmər teksturalı,isitməsi olan döşəmədir.Mənzildəki mebellərin və əşyaların hamısı saxlanılacaq (bəzi şəxsi əşyalar istisna olunmaqla).Bütün otaqlarda Smart TV,qonaq otağında 5.1 səs effekti olan və Karaoke funskiyası olan wireless ev kinoteatrı,kənardan idarə olunan səsli kamera sistemi (360°),mobil proqramla idarə olunan və oğurluğa qarşı ""Edles Alarm"" sistemi və zənglərə kənardan cavab vermək imkanına malik ""Dahua"" təhlükəsiszlik sistemləri və digər Smart texnologiyalar quraşdırılmışdır.Mənzildə 2 böyük eyvan var və bütün otaqlardan eyvanlara çıxış var.Kompleksin 24 saat mühafizə olunan həyəti və həyətində uşaq əyləncələri,marketlər,gözəllik salonları və bütün infrastruktur mövcuddur.Binanın mühafizə olunan açıq və bağlı parkinqi var.

Əlavə məlumat üçün əlaqə saxlaya bilərsiniz.",40,"Bakı Asiya Universiteti 
"," 8 Noyabr m.
"," Nəsimi r.
",,,,
2480640,2021-12-30,Yeni tikili,13 / 20,79 m²,2,var,120 000AZN,mülkiyyətçi,"Nərimanov rayonu, Əliyar Əliyev küçəsində yerləşən 20 mərtəbəli yeni tikilinin 13 cü mərtəbəsində 79 m2 sahəsi olan 1/2 otağa düzəlmiş super təmirli mənzil əşyaları ilə bir yerdə satılır. Qaz və Çıxarış var. Əlavə məlumat üçün zəng edin.",32,"Nərimanov r.
",,,,,,
2537441,2021-12-30,Köhnə tikili,3 / 9,77 m²,2,var,125 000AZN,vasitəçi (agent),"Nərimanov rayonu, Ceyhun Hacıbəyli küçəsi, Zooparkın və Dostluq Kinoteatrının yaxınlığında yerləşən  9 mərtəbəli Eksperimental layihəli binanın 3-cü mərtəbəsində qanuni 2 otaqlı, ORTA TƏMİRLİ mənzil satılır. Su, işıq, qaz daimidir. Mənzildə hər şərait var. 
Orta mənzildir.
Mənzilin ümumi sahəsi 77 kv.m. təşkil edir. Çıxarışda (kupça) mənzilin sahəsi 67 kv.m. olaraq qeyd edilib.
Mərkəzi istilik sistemi ilə təmin edilib.
Bəzi əşyalar mənzildə qalacaq.
İki eyvanı var (bağlı və açıq). Yola və həyətə mənzərəsi var.
",31,"Zoopark 
"," Dostluq kinoteatrı 
"," Koala parkı 
"," Nərimanov r.
",,,
