id,date,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19
2364307,2021-09-29,Yeni tikili,16 / 19,68 m²,2,var,115 000AZN,mülkiyyətçi,"SUPER TƏKLİF !!!!! Münasib Qiymət.
Nəsimi rayon Mircəlal küçəsində İmperial, Leyla şadlıq evləri ilə üzbə üz, ƏLA təmirli İqtisad Universitetinin müəllimləri üçün tikilən prestijli, keyfiyyıtli 19 mərtəbəli yeni tikilmiş binanın 16-cı mərtəbəsində mənzil TƏCİLİ OLARAQ SATILIR. Öz evimdir ona görə şirkət xidmət haqqı yoxdur.
Evin Ümumi Sahəsi 67 kv metr olan 1-otaqlıdan düzəlmiş 2 otaqlı, əla təmirli, pütün otaqlar birinci işıq alır, vanna otağı isti pol, geniş balkon (9mx1.6m) və keyfiyyətlı əşyaları ilə birlikdə satılır. 
✅ Parket Palıd
✅Qapılar Fıstıq 
✅İstilik Sistemi kombidi.
✅Binada Cəmi 2 blok və hər mərtəbədə 3 mənzil və 3 lift var,
✅Avomobil saxlamaq üçün geniş həyəti var
✅ Uşaqların oynamağı üçün futbol meydancası və geniş həyəti var.
✅ 24 saat Blokda Mühafizə var və kamera cəkilişi
✅ Alış veriş etmək üçün binanin 1 ci mərtəbəsində Bravo market, üzbə üz isə Safastor marketi var.
✅Binanın həyətində poçt, yaxınlıqında KAPİTAL BANK , Orta məktəb (240 saylı orta məktəb) və uşaq baxçaları var.
✅ Binanın düz qarşısından Müxtəlif marşurut avrobusları (18, 85,65,61 və s.) keçir. 
✅Beynəlxalq Avtovaqzala 5-6 dəqiqəlik yol
✅ Lukoil və Mərd Petrol YDM yaxınlığındadı
✅ Su, qaz, işıq daimidi
✅ Sənədləri Kupcadı, İpotekaya yararlıdır.

#Şamaxinka, #9-cu mikrorayon, #İmperial, #qızıltac, #Şafastor, #Memar Əcəmi m.,#nəsimi r.",778,"Binəqədi r.
"," 9-cu mikrorayon q.
",,,,,,,,
2370151,2021-09-29,Yeni tikili,17 / 17,137 m²,3,yoxdur,134 000AZN,vasitəçi (agent),"Əcəmidə, Yeganə saraın arxasında, Kupçalı mənzil satılır. (dəyərindən ucuz) (evin videosu var). Lalə mtk. 
Sahəsi 137 kv . 3 otaq. Təmirli. Geniş Balkon. Müasir üslübda tam boy pəncərə. Bəzi əşyalar qalacaq.
17 mərtəbəli binanın 17-ci mərtəbəsi. 
Mətbəx böyük olduğundan indiki ev sahibi, mətbəxi həm də qonaq otağı kimi istifadə edir. Qalan 3 otağ isə yataq otağıdır. Bütün otaqların balkonu var. Balkonda kabab bişirməyə , stol-stul qoymağa yer var. Evin hündürlüyü aşağı mərtəbələrlə eyni ölçüdədir. Azərbaycandan başqa bütün ölkələrdə binanın ən yuxarı mərtəbəsi ən bahalı mərtəbə hesab olunur. Misal üçün, bir Fransıza və ya İngilisə , evinizin binanın mansard qatında olduğunu desəniz onlar bunun möhtəşəm olduğunu deyəcəklər ) Bu arada evin videosu var, gəlib baxmamışdan öncə israrla o videoya baxmağınız tövsiyyə olunur. (ikimizin də vaxtı qiymətlidir )",35,"Memar Əcəmi m.
"," Nəsimi r.
",,,,,,,,
2364197,2021-09-29,Köhnə tikili,9 / 9,64 m²,4,var,115 000AZN,mülkiyyətçi,"Salam.Mənzil orta təmirlidi.Binanın ətrafında məktəb,baxça,park var.Binada istilik sistemi var.Əlavə suallara görə zəng edə bilərsiz.",10,"Xalqlar Dostluğu m.
"," Neftçilər m.
"," Nizami r.
"," 8-ci kilometr q.
",,,,,,
2370149,2021-09-29,Köhnə tikili,5 / 5,47 m²,2,var,78 500AZN,vasitəçi (agent),"DİQQƏT!!! SUPER TƏKLİF!!! ƏLA QİYMƏT!!!
ŞƏHƏRİN TAM MƏRKƏZİ!!! Herbi Prokurorlug
Gənclik ve 28 may metrosunun yaxınlığında Ceyhun Hacıbəyli küçəsinde yerleshen 5 mərtəbəli xruşovka lahiyəli daş binanın 5-ci mərtəbəsində ümumi sahəsi 47 kvm olan qanuni 2 otaqlı təmirli mənzil TƏCİLİ OLARAQ SATILIR!!!
Mənzildə qaz,su,işıq daimidir.
Sənədləri kupçadır.
Yaxınlıqda hər bir iaşə obyekti var.
Məktəb,bağça 1 addımlıq məsafədədir.
Yaxınlıqda supermarketlər,alış veriş obyektləri və s mövcuddur.
Avtobus dayanacağına 2 dəqiqə piyada məsafə var.
Sakit və təmiz həyət.
Şirkətin xidmət haqqı 1%
Kirayə vermək üçün də ideal variantdır.
",49,"Zoopark 
"," Dostluq kinoteatrı 
"," Nərimanov r.
",,,,,,,
2370147,2021-09-29,Yeni tikili,7 / 16,185 m²,4,var,595 000AZN,vasitəçi (agent),"Xatayide,megafonun yaxinliginda,yeni tikili binada wexsi bahali temirli menzil satilir.Temirde italiya,turkiye materyallardan istifade olunub.Otaglarin denize baxiwi var..Temir yenidi yawayiw olmayib..real alana endirim var..",212,"Şah İsmayıl Xətai m.
"," Xətai r.
",,,,,,,,
2370145,2021-09-29,Yeni tikili,6 / 17,85 m²,2,var,120 000AZN,vasitəçi (agent),"Yasamal rayonu,Yeni Yasamal qesebesinde 17 mertebeli yenitikili binanin 6ci mertebesinde umumi sahesi 83kv olan QANUNI 2 otaqli ela temirli menzil satilir.Binanin yaxinliginda yasayis ucun lazim olan butun infrastrukturlar movcuddur.Qaz,du,isiq daimidir.Senedleri qaydasindadir.Etrafli melumat ucun elaqe saxlayin.
Ofis haqqi 1%.",31,"Yasamal r.
"," Yeni Yasamal q.
",,,,,,,,
2370143,2021-09-29,Köhnə tikili,5 / 9,80 m²,3,var,105 000AZN,mülkiyyətçi,"Təcili: 9 cu mikrarayonda, 61 və 65 saylı avtobusların son dayanacagına yaxın, orta blokda yerləşən 3 otaqlı mənzili bazar qiymətindən aşagı qiymətə satıram, mənzil infrastruktur cəhətdən çox əlverişli yerdə yerləşir,mənzil boşdur, qeydiyyatda heç kəs yoxdur,vasitəçilər zəng vurmasın",20,"Binəqədi r.
"," 9-cu mikrorayon q.
",,,,,,,,
2370141,2021-09-29,Yeni tikili,10 / 18,130 m²,3,yoxdur,230 000AZN,vasitəçi (agent),"TECILI  SATILIR......Nerimanovda super temirli menzil.Temirden sonra yawayiw olmayib.Menzil yuksek keyfiyyetle temir edilib,temirde  istifade olunan materiallar  ,,Aksessuar,, insaatdan alinib.  Menzile metbex mebeli yigilib tehvil verilecek.Real aliciya endirim olacaq.",230,"Nərimanov r.
",,,,,,,,,
2370140,2021-09-29,Yeni tikili,10 / 18,150 m²,4,var,345 000AZN,vasitəçi (agent),"8 Noyabr m/st və Tbiliski prospektinin yaxınlığında yeni inşa edilmiş 18 mərtəbəli yaşayış kompleksinin 10-cu mərtəbəsində, ümumi sahəsi 150 kv/m olan 4 otaqlı 
əla təmirli mənzil satılır. Mənzildə kombi sistemidir, Tbiliski prospektinə baxan 1 bağlı, 1 acıq  geniş eyvanı var. Mənzildə kombi sistemidir, pol parketdir, hər 2 s/qovşağında və mətbəxdə isti poldu.mənzilin hər bir şəraiti var. Qaz, ışıq, su daimidir. Binanın yeraltı qarajı və 24 saat mühafizə edilən, istirahət üçün hər bir şəraəti olan geniş həyəti mövcuddur. Binanın ətrafında məktəb, baxça, bank, aptek, mağazalar, super marketlər və digər iaşə obyektləri mövcuddu. Real alıçıya endirim olunaçaq.",15,"Bakı Asiya Universiteti 
"," 8 Noyabr m.
"," Nəsimi r.
",,,,,,,
2370138,2021-09-29,Yeni tikili,10 / 16,91 m²,3,var,110 000AZN,vasitəçi (agent),"*TƏCİLİ SATILIR***
***Həzi Aslanov metrosu Akkord MTK_a məxsus
19 mərtəbəli yeni tikili binanın 10-cu mərtəbəsində
ümumi sahəsi 90 kvm. olan
3 otaqlı təmirli mənzil satılır.
Mənzil 2 otaqdan 3 otağa yüksək zövqlə düzəlib.
Hər 3 otağın güngörən pəncərəsi var.
İstilik sistemi kombidir.
Su,işıq,qaz daimidir.
Mənzildən dənizə möhtəşəm panorama açılır.
2 eyvanı var.
Yeraltı qaraj mövcuddur.
Bina infrastruktur cəhətdən əlverişli əraziyə sahibdir.
Mənzil əşyalı da satıla bilər
Alıcının Kommisiya haqqı 1 % təşkil edəcək",42,"Həzi Aslanov m.
"," Xətai r.
",,,,,,,,
