id,date,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17
2506752,2021-12-12,Yeni tikili,16 / 17,65 m²,2,var,115 000AZN,vasitəçi (agent),"Nargilə Residence

Tikinti şirkəti
Resant Real Estate

▪︎Ünvan
▪︎Cavanşir küçəsi, (Neyrocərrahiyyənin  arxası
▪︎ Bina 17/16 ci mərtəbəsi
▪︎ Sahəsi 65 m²
▪︎ Sənəd:Müqavilə
▪︎ Dənizə mənzərə
▪︎ Qiymət:115.000 ₼

Qeyd : Mənzildə təmirdən sonra yaşayış olmayıb. Qaz, su, işıq daimidir, istilik sistemi Kombidir. 
Binanın 2 sürətli-səssiz lifti, mərmər blokları, mərtəbəli yeraltı avtodayanacağı, həyəti, 24 saat mühafizə xidməti və s. vardır.
",20,"Xətai r.
",,,,,,,
2506750,2021-12-12,Yeni tikili,17 / 25,103.3 m²,2,yoxdur,222 000AZN,mülkiyyətçi,"Grand Hayat. Yaşayış kompleksində tam təmirli, Eshyali, Texnikali və Mebelli ev. Yeni təmir olunub. Kondisioner invertr 2 zonali. Qaz, kombi, isti pol var. Meishet texnikalari hamisi tezedir ishlenmeyib.
Blokda 6 ədəd lift var, 2 yuk, 4 sernishin ucun. 3 mərtəbə maşın qaraj var.
Şəxsi mənzilimdir, özüm satıram,  Pulun bir hissesin Avto mashin qebul ede bilerem. Əlavə məlumatı telefonda verəcəm. Negd alishda qiymetde endirim olunacaq.",305,"Yasamal bazarı 
"," İnşaatçılar m.
"," Yasamal r.
"," Yasamal q.
",,,,
2506747,2021-12-12,Yeni tikili,3 / 18,52 m²,2,var,103 000AZN,vasitəçi (agent),"İnşaatçılar Metrosuna yaxın , Baku Moll un və Ziraat Bank ın yanında , sahəsi 51 kv.m. olan 1 otaqdan 2 otağa düzəldilmiş mənzil satılır . Mənzil Kupça ilə təmin olunub . Otaqlar 1 ci işıqladır . Mənzil mebellərlə birlikdə - Soyuducu , Kondisioner , Paltaryuyan , Divan - Kreslo , Plazma TV və s. ilə birlikdə satılır . Bina 24 saat mühafizə olunur . Yeraltı parking mövcuddur ...",28,"İnşaatçılar m.
"," Yasamal r.
",,,,,,
2506746,2021-12-12,Yeni tikili,8 / 16,72 m²,2,var,102 000AZN,vasitəçi (agent),"TƏCİLİ SATILIR!!!
KUPÇA + QAZ !
DİGƏR AGENTLƏR ŞƏKİLLƏRİ İCAZƏSİZ GÖTÜRMƏYİN !
Bakı şəhəri, Xətai rayonu, Neyrocərrahiyyənin yanında, Lukoil zapravkası ilə üzbəüz, 17 mərtəbəli binanın, 8-ci mərtəbəsində, ümumi sahəsi 88 kv.m. olan, qanuni 2 otaqlı, yaxşı təmirli mənzil satılır.
*Mənzil keyfiyyətli materiallarla təmir olunub.
*İstilik sistemi kombidir.
*Pol parket.
*Qaz, su, işıq daimidir.
*Maşınlar üçün dayanacaq yeri, yaxınlıqda BRAVO gipermarket, məktəb, uşaq bağçası, mağazalar, avtobus dayanacağı və s.
*Sənəd ÇIXARIŞ (kupça).
Komissiya haqqı 1% təşkil edəcək.",46,"Sabunçu r.
"," Bakıxanov q.
",,,,,,
2506740,2021-12-12,Yeni tikili,6 / 16,133 m²,3,var,255 000AZN,vasitəçi (agent),"Tecili satilir ! ! !
✔Nerimanov Metrosu, Heyder Eliyev Merkezinin duz qarsisi
✔Edem Yasayis Kompleksi
✔Sahesi 133kv.m 3 otaq
✔Yaxsi temir, yer parket
✔Binada qaz ve cixaris
✔Binanin yeralti parkingi ve heyeti
Diger melumatlar ucun zeng edin.",28,"Nəriman Nərimanov parkı 
"," Nəriman Nərimanov m.
"," Rəssamlıq Akademiyası 
"," Nərimanov r.
",,,,
2506737,2021-12-12,Yeni tikili,12 / 26,148 m²,3,yoxdur,215 000AZN,mülkiyyətçi,5 ci bina ,85,"Yasamal r.
"," Yasamal q.
",,,,,,
2506736,2021-12-12,Köhnə tikili,4 / 9,75 m²,2,var,130 000AZN,mülkiyyətçi,"Ata-Türk prospektinde. 9/4  75-kv,koperativ binadır.""keçmiş Prakraturanın binasıMedi Lux""klinikasının qarşısındakı bina,orta blok. Eşyalı ,həyətində park və iaşə xidmətləri mövcuddur. Məktəb,baxca,market,çörək sexi,kafe,salon,klinika, aptrk,park və.s
Qiymət:130000 Azn
İçində kirəkeşidə var 550-azn
",24,"Ayna Sultanova heykəli 
"," Nərimanov r.
",,,,,,
2506734,2021-12-12,Yeni tikili,14 / 17,105 m²,3,var,128 000AZN,vasitəçi (agent),"Xətai rayonu Həzi Aslanov metrosunun çıxışı,Rahat Marketin həyəti Tikmat yaşayış kompleksi,6-cı bina 17/14-cü mərtəbəsi,ümumi sahəsi 105 kvadrat 3 otağa düzəlib,ancaq birinci işıqla düzəlib. Yəni qanuni 3 otaqdan fərqlənmir. Mənzilin döşəməsi parket,istilik sistemi kombidir. Şəkillər mənzilə aiddir,odur ki tərifə ehtiyac yoxdur,hər şey göz önündədir və dəyərləndirmə də hər kəs üçün fərqlidir. Canlı baxmaq istəsəz bir saat öncədən zəng edin. Komissiya 1%",89,"Həzi Aslanov m.
"," Xətai r.
"," Əhmədli q.
",,,,,
2502646,2021-12-12,Yeni tikili,15 / 16,120 m²,3,var,245 000AZN,vasitəçi (agent),"Tecili satilir ! ! !
✔Nerimanov Metrosu, Heyder Eliyev Merkezinin duz qarsisi
✔Edem Yasayis Kompleksi
✔Sahesi 120 kv.m 3 otaq
✔Yaxsi temir, yer parket
✔Binada qaz ve cixaris
✔Binanin yeralti parkingi ve heyeti
Diger melumatlar ucun zeng edin.",30,"Nəriman Nərimanov parkı 
"," Rəssamlıq Akademiyası 
"," Nəriman Nərimanov m.
"," Nərimanov r.
",,,,
2506729,2021-12-12,Yeni tikili,6 / 6,125 m²,4,var,90 000AZN,mülkiyyətçi,"Xırdalanda,Park və bazara yaxın ərazidə 6 mərtəbəli evin 6-cı mərtəbəsində 125 kv metr. sahəsi olan tam təmirli,əşyalı mənzil satılır.Öz mənzilimdir.Kombi,internet,qaz,işıq,su telefon və s.
Bundan əlavə kommunal xərc yoxdur,JEK-in balansındadır.Damda 80 kv metr  mənə məxsusdur,İstifadəyə yararlıdır.1 tonluq su çəni var.",61,"Xırdalan
",,,,,,,
