id,date,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20
2119271,2021-05-26,Вторичка,6 / 9,98 м²,4,есть,171 900AZN,посредник (агент),"9cu Mikrorayonda super temirli mənzil satılır, menzil dizaynla temir olunub, butun mebel ve məişət əşyaları Turkiyeden ve Italiyadan getirilib, menzilin temirine heddinden cox pul xerclenib, ev sahibi ozu ucun temir etdirib, ancaq indi xarice gedir deye tecili satir, kupcasi var ipotekaya yararlidir, menzil yelcekendir, 5 otaqdan 4 otağa duzelmedir",7," Парк им. Зарифы Алиевой
"," Бинагадинский р.
"," пос. 9-й мкр
",,,,,,,,
2074931,2021-05-26,Вторичка,1 / 5,100 м²,4,есть,95 000AZN,посредник (агент),Bineqedi rayonu 7 ci mikroayon Ankaranin araxinsda yerlesen  5m ertebei tikilinin 1 ci mertebesinde umumi sahesi 100 kv olan 4 otaqli menzil satilir.Menzil qanuni 3 otaqlidir 38 kv artirma hesabina 4 otaqliya dzuelib.Menzil temirlidir.Elave olaraq heyetyani sahesi var.Qaz su isiq daimi isitlik merkezi...Elave olaraq temirlipodvar var....Sened cixaris(kupca)Elave melumat ucun  zeng ede bilersiz.Shirketin xidmet haqqi 1%,21,"Бинагадинский р.
"," пос. 7-ой мкр
",,,,,,,,,
2119269,2021-05-26,Новостройка,9 / 19,80 м²,3,есть,105 000AZN,посредник (агент),"DƏYƏRİNDƏN ÇOX UCUZ!!!İPOTEKAYA DA YARARLIDIR!!!
Bakı şəhəri ,Xətai rayonu ,Əhmədli metorsu yaxınlığında,Pitstopun yanında Yerləşən yeni tikili 19 mərtəbəli binanın 9-cu mərtəbəsində 2 dən-3 ə ideal şəkildə düzəldilmiş tam təmirli  mənzil satılır.Sahəsi 80 kv\m dir.Əşyalar ilə birlikdə verilir,əla variantdır.Qaz,Su,İşıq daimidir.istilik sistemi kombidir.Şəhərə gözəl panoraması var.İnfrastruktur cəhətdən çox lverişli yerdə yerləşir.Yaxınlığında məktəb,bağça,mağaza və.s iaşə obyektləri mövcuddur.Çıxarış(Kupça) var.Əldən qaçırılmayacaq təklifdir.
Qiymət-105 000AZN.
Xidmət haqqı-1%.
",543,"Хатаинский р.
"," пос. Ахмедлы
",,,,,,,,,
2119268,2021-05-26,Новостройка,7 / 16,126 м²,3,есть,230 000AZN,посредник (агент),"Nesimi rayonu Celil Memmedquluzade kucesinde yerlesen 16 mertebeli yeni tikilini 7 ci mertebesinde menzil satilir.Menzilin umumi sahesi 126 kv metrdir.1 qonaq 2 yataq otagi metbex 2 sanitar qovsagi var.Menzilin otaqlari genis ve isiqlidir.Menzil yelcekendir...Heyetyani saheye ve shehere gorunus var.Menzilin dosemesi parket dehliz metbex ve sanitar qovsaqlari isti poldur.
Elave olaraq icmeli su ucun filtr internet ve tv xetti movcuddur.Istilik sistemi kombi.Qaz su isiq daimidir.Menzil esyalarlar birlikde satilir.Tikilnin yerlesdiyi erazide yasayis cuunz zeruri olan butun nov infrastruktur obyektleri movcuddur.Shirketin xidmet haqqi 1%
Elave melumat ucun zeng ede bilersiz...",24," Спортивный Комплекс
"," Насиминский  р.
",,,,,,,,,
2119265,2021-05-26,Вторичка,5 / 5,75 м²,3,есть,85 000AZN,посредник (агент),"Cox Cox TECILI!Yasamal rayonunda Elimler metrosuna yaxin Ilahiyet mescidi ile uzbe-uzde yerlesen 5 mertebeli binanin 5-ci mertebesinde 3 otaqli,umumi sahesi 75 kv olan menzil satilir.Menzilin etirafinda butun IASE obyektleri movcuddur.Xahis olunur real alicilar zeng etsin.Xidmet haqqi 1% teskil edir.",9," Бакинский Государственный Университет
","  ASAN сервис №3
"," м. Элмляр Академиясы
"," Ясамальский р.
"," пос. Ясамал
",,,,,,
2119264,2021-05-26,Новостройка,3 / 11,86 м²,3,есть,110 000AZN,посредник (агент),Yasamal rayonu Beyaz market yaxinliginda yerlesen 11 mertebeli tikilnin 3 cu mertebesinde umumi sahesi 86 kv 2 otagdan 3 otaga duzelme tam temirli menzil satilir...Tikiliinin yerlesdiyi erazide yasayis ucun zeruri olan butun nov infrastruktur obyektleri fealiyyet gosterir...Qaz su isiq daimi istilik kombi doseme parket...Elave melumat ucun zeng ede bilersiz.Shirketin xidmet haqqi 1%,29,"Ясамальский р.
"," пос. Ени Ясамал
",,,,,,,,,
2119262,2021-05-26,Новостройка,16 / 19,55 м²,2,есть,155 000AZN,посредник (агент),"Şəhərin prestijli ərazisində ,Elmlər metrosu yaxınlığında H.Cavid prospektində yerleşən Kristal Abşeronun tikdiyi Vip yaşayış kompleksində 55 kvm sahəsi olan 1 otaqdan 2-yə düzəldilmiş dizayn təmirli mənzil satılır.Mənzildə təmirdən sonra yaşayış olmayıb.İstilik sistemi Kombidir.Hər blokdə 3
sürətli lift quraşdırılıb.Kompleksin 2 mertebeli yeraltı qarajı ,24 saat mühafizə sistemi ,geniş həyəti v.s vardır.
𝗙𝗶𝗿𝗺𝗮𝘆𝗮 𝗮𝗹𝗶𝗰𝗶 𝘁𝗲𝗿𝗲𝗳𝗶𝗻𝗱𝗲𝗻 𝟭% 𝗼̈𝗱𝗲𝗻𝗶𝘀̧ 𝗼𝗹𝘂𝗻𝗮𝗰𝗮𝗾!",7,"м. Элмляр Академиясы
","  Парк Гусеин Джавида
","  Технический Университет
"," Ясамальский р.
",,,,,,,
2119261,2021-05-26,Новостройка,15 / 20,135 м²,3,есть,198 000AZN,посредник (агент),"Nerimanov rayonu BTI ve Kosmos restorani yaxinligida yerlesen 20 mertbeli yeni tikilinin 11 ci mertebesinde umujmi sahesi 131 kv olan 3 otaqli menzil satilir.Menzil yuksek zovq ve keyfiyyetli materiallarnan temir olunmusdur.Menzil tam ve ela temirlidir.Otaqlar genis ve isiqlidir.2 sanitar qovsagi var.Qaz su isiq daimi istilik kombi.
Bir sozle menzil yasayis cuun tam ideal formadadir.
Elave melumat ucun zeng ede bilersiz.
Shirketin xidmet haqqi 1%",41,"Наримановский  р.
",,,,,,,,,,
2103237,2021-05-26,Новостройка,15 / 15,130 м²,3,есть,223 000AZN,посредник (агент),"TECILI.....Elmlər Akademiyası m/s. BDU ya yaxın ,əla təmirli Yeni Tikili Qazı Kupcali,olan 15 mərtəbəli binanın 15-ci mərtəbəsində ümumi sahəsi 130-kv.m olan 3 otaqlı Əla təmirli mənzil satılır. Mənzilin qazı,suyu,işığı daimidir və sənədləri qaydasındadır. Mənzilin istilik sistemi Kombidir. Mənzilin 2 sanitar qovşağı və balkonu var. Binada 2 sürətli lift,yeraltı və yerüstü maşın dayanacağı,geniş həyət,24 saat mühafizə xidməti və s. var. Binanın yaxınlığında orta məktəblər, uşaq bağçası,avtobus dayanacaqlar, supermarketlər, ticarət mərkəzləri və digər iaşə obyektləri yerləşir...",8," Бакинский Государственный Университет
"," м. Элмляр Академиясы
"," Ясамальский р.
",,,,,,,,
2119259,2021-05-26,Новостройка,20 / 24,192 м²,4,есть,390 000AZN,посредник (агент),"TECILI...KUPCALI...BARTER  MUMKUNDUR. Xetai rayonu Xocali prospekti ile Fezail Bayramov kucesinin kesismesin Baki eylence merkezi ile uz be uz 24 mertebeli binanin 20 ci mertebesinde imumi sahəsi 192  kv m olan 4 otaqli menzil satilir. Menzilin temiri pesekar dizaynerler terefinden mukemmel dizaynla temir olunub. 
Menzilin temirinde yuksek keyfiyyetli materyallardan istifade olunub. Mənzil təcili satildigi ucun deyerinden ucuz qiymete teklif olunur. Sekillerde gorduyunuz esyalar brend markalardir,ve butun esyalar qalacaq. Mənzilin deniz panaramasi, xoş aurası, və işıqlı otaqları vardır. Menzilin 2 sanuzel qovsagi var. Tam yaşayışlı binadır. Müasir standartlara cavab verən kompleksin üstünlükləri: 24 saat kamera nəzarəti; geniş və səliqəli həyət; kodlaşdırılmış giriş-çıxış; mərmər bloklar; daimi qaz,işıq və su təminatı; yanğın təhlükəsizlik sistemi; yaxınlıqda uşaq bağçası və məktəb; tıcarət və xidmət obyektlərı mövcuddur. Real müştəri ilə qiymətdə razılaşma mümkündür!!",2726,"м. Шах Исмаил Хатаи
"," Хатаинский р.
",,,,,,,,,
